doc_type;invo_type;doc_number;product_id;invoice_date;invoice_due_date;qty;description;business_id;business_name;business_phone;business_email;business_address;business_country;client_id;first_name;last_name;email;client_address;client_country;currency;subtotal;iva;iva2;taxes;taxes2;other;discount;amount;payment_type;payment_method
Saliente;Factura Electrónica;1,00E+15;1,00E+15;24/4/22;0;1;membresia;3101716050;Seating and Services;40824145;ediaz@gmail.com;San José, San Sebastian de Repuestos Conejo 10 Metros Oeste;Costa Rica;111240589;Sergio;Morales;sergemr@gmail.com;Sabanilla Montes de Oca;Costa Rica;Colones;66.371,69;0;0;8628,36;0;0;0;75000,01;Contado;Tarjeta
Saliente;Factura;VF-21-1767;VF-21-1767;17/11/21;17/11/21;2;cargos por compra;B-41524117;ABD Informática SA;954932850;info@es.es;C/alberche 4A - 1 Dcha C.P.41005, Sevilla;España;X1070828V;Renato de Lauretiis;de Lauretiis;0;Traviesa Samoseira;España;0;124,35;0,21;0;26,11;0;0;0;150,46;Contado;Transferencia Bancaria
Saliente;Factura;AEU-SIM-INV-ES-2018-34584817;AEU-SIM-INV-ES-2018-34584817;23/8/18;0;1;compra articulos;IVA ESW0184081H;Amazon EU S.à r.l;0;0;Calle de Ramírez de Prado 5 28045 Madrid;España;0;RENATO DE LAURENTIIS;DE LAURENTIIS;0;"TRAVESIA DE SOMOSIERRA, 11 4B
TRES CANTOS, MADRID, 28760";España;Euros;65,9;0,21;0;13,71;0;0;0;79;0;0
Saliente;Factura Electrónica;1,00E+17;1,00E+17;23/1/22;0;1;un articulo;3-101-593961;ASSA Companía de Seguros S.A.;(506) 2503-2700;servicio@assanet.com / contacto@assanet.com;Parque Empresarial Fórum I, Edificio F, Santa Ana, San José,; Costa Rica;801100138;SEVILLA SEVILLA DEYLIN;SEVILLA SEVILLA;dsevilla@promerica.fi.cr;"50 METROS OESTE Y 25 METROS NORTE DE LA ENTRADA PRINCIPAL DEL COLEGIO CAMPESTRE CASA COLOR PAPAYA SABANILLA MONTES DE OCA SAN
JOSE. SAN JOSE. MONTES DE OCA. COS";Costa Rica;Colones;18.502,81;0,13;0;2405,37;0;0;0;20908,18;Contado;0
Saliente;Factura de billete;075-2379360223;075-2379360223;11/9/18;0;3;tiquete aereo;A85850394;IBERIA LAE SA Operadora Unipersonal;;0;"C/ Martínez Villergas, 49
28027 Madrid";España;B84857242;Centro de Encuentro BPM SL;Centro de Encuentro BPM SL;0;"Travesia de Somosierra, 11 4B
28760 Tres Cantos
28";España;Euros;627,21;0;0;0;0;0;0;627,21;0;0
Saliente;Factura de billete;1,00E+17;1,00E+17;5/2/21;13/2/21;31;membresia;3002087432;"ASOCIACION INSTITUTO DE NORMAS
TECNICAS DE COSTA RICA";"50622834522; 50689609696";facturas@inteco.org;"400 metros norte de Muñoz & 0ne.
Contiguo al Laboratorio de Materiales de la
Universidad de Costa Rica.
San Pedro , Montes de Oca , 1 San José";Costa Rica;801100138;DEYLIN YANELQUI SEVILLA SEVILLA;DEYLIN YANELQUI SEVILLA SEVILLA;dsevillas@gmail.com;San José, Montes de Oca, Sabanilla;Costa Rica;Colones;39.650,00;0,13;0;5154,5;0;0;0;44804,5;8 días;Transferencia – depósito bancario
Saliente;Factura Electrónica;1,00E+17;1,00E+17;14/3/22;0;1;cargos por compra;3-007-042032-12;JUNTA ADMINISTRATIVA DE LA IMPRENTA NACIONAL;8000 GACETA (8000-422382);servicioclientesfi0ciero@imprenta.go.cr;"Dirección: La Uruca, San José, Costa Rica
100 metros sur y 50 metros oeste de la gasolinera UNO";Costa Rica;801100138;DEYLIN YANELQUI SEVILLA SEVILLA;DEYLIN YANELQUI SEVILLA SEVILLA;dsevillas@gmail.com;;0;Colones;3.990,00;0,13;0;518,7;0;0;0;4528,7;Contado;Tarjeta
Saliente;"COMPROBANTE ELECTRONICO
ORIGINAL";1664146;1664146;6/11/20;0;1;compra articulos;2,14E+11;Arredo S.A.;0;0;"Dr.Aquiles Lanza 1261
- Montevideo";Uruguay;45203796;María Fer0da Rivero Tierno;Rivero Tierno;0;"Ramon Anador 3233
11600 - Montevideo
Montevideo";Urugya;Pesos Uruguayos;0;0;0;0;0;0;0;735;0;0
Saliente;Tiquete;2,00E+17;2,00E+17;6/8/21;0;21;un articulo;3002045363;ASEMECO;"25221000; 22554947";0;Calle Central y Primera - Avenidas 14 y 16 - ▪ Apartado 1307-1000 San José, ;Costa Rica;C02812394;"ZELEDON GONZALEZ
JONATHAN APOLINAR";"ZELEDON GONZALEZ
JONATHAN APOLINAR";dsevillas@gmail.com;;0;COLONES;47.595,00;4;0;1903;0;0;0;49498,8;TIQUETE DE CONTADO;0
Saliente;Factura Electrónica;1,00E+17;1,00E+17;12/3/22;0;21;tiquete aereo;3101708068;Ke0pau S.A;2225-9597;facturacion@clinicaesbelt.com;San José, Goicoechea, GUADALUPE, De la Escuela Pilar Jimenez, 150 mts Norte.;Costa Rica;801100138;DEYLIN SEVILLA SEVILLA;SEVILLA SEVILLA;0;0;0;Colones;42.445,00;0;0;1697,8;0;0;0;42445;0;"Tarjeta
Manual"
Saliente;Factura Electrónica;2,90E+17;2,90E+17;0/1/00;0;21;membresia;4-000-042139;INSTITUTO COSTARRICENSE DE ELECTRICIDAD;0;0;0;Costa Rica;8-0110-0138;SEVILLA SEVILLA DEYLIN YANIELQ;SEVILLA SEVILLA;0;"GUADALUPE EL ALTO DEL HOSP
JERUSALEM 25";0;COLONES;11.471,29;0;0;0;0;13156,28;0;19197,95;0;0
